marque,modele,prix,photo,categorie,poidsCoffre
None,Corolla,20000,,Sedans,0
None,Focus,18000,,Sedans,0
None,Asea,15300,,Sedans,0
None,Ariant,40800,,Sedans,0
None,Asterope,35700,,Sedans,0
None,Cognoscenti,91800,,Sedans,0
None,Cognosenti 55,132600,,Sedans,0
None,Emperor,18360,,Sedans,0
None,Emperor Rouillé,5100,,Sedans,0
None,Fugitive,40800,,Sedans,0
None,Glendale,32640,,Sedans,0
None,Glendale Custom,45900,,Sedans,0
None,Ingot,16320,,Sedans,0
None,Intruder,29580,,Sedans,0
None,Premier,23460,,Sedans,0
None,Primo,16320,,Sedans,0
None,Primo Custom,56100,,Sedans,0
None,Regina,16320,,Sedans,0
None,Shafter,61200,,Sedans,0
None,Shafter LWB,71400,,Sedans,0
None,Shafter V12,81600,,Sedans,0
None,Stafford,561000,,Sedans,0
None,Stanier,23460,,Sedans,0
None,Stratum,15300,,Sedans,0
None,Stretch,408000,,Sedans,0
None,Super Diamond,234600,,Sedans,0
None,Surge,18360,,Sedans,0
None,Tailgater,86700,,Sedans,0
None,Tailgater S,183600,,Sedans,0
None,Warrener,30600,,Sedans,0
None,Warrener HKR,45900,,Sedans,0
None,Washington,71400,,Sedans,0
None,Cinquemila,255000,,Sedans,0
None,Deity,357000,,Sedans,0
None,Ubermarcht Rhinehart,112200,,Sedans,0
None,Seraph,81600,,Sedans,0
None,Sharmann,102000,,Sedans,0
None,Asterope GZ,32640,,Sedans,0
